code,ri
A001430,1.07
A101530,#DIV/0!
A004000,0.51045977
A014680,3.597586207
A020560,1.266896552
A024720,5.994827586
A089590,7.11375
A009420,3.744597701
A034310,2.076781609
A000990,2.587816092
A175330,-0.016206897
A009970,2.856896552
A033920,3.054942529
A103140,2.576321839
A071320,0.666857143
A006840,3.276551724
A115390,-0.276285714
A001230,-0.892068966
A069260,1.017471264
A001520,0.493563218
A019680,1.195632184
A005740,4.724252874
A002240,0.962758621
A096760,4.062413793
A016450,4.728045977
A000370,0.815747126
A018670,0.752068966
A072710,1.327701149
A012510,2.426896552
A053210,0.537222222
A000230,3.335287356
A017810,2.681609195
A003300,1.570344828
A005180,1.740804598
A007340,1.552643678
A093050,0.520574713
A085620,-1.284375
A003090,1.555517241
A002020,2.689770115
A003470,0.750574713
A009450,3.16
A020150,0.992807018
A002960,2.597126437
A210980,0.901666667
A060980,0.777910448
A138250,-2.464444444
A044820,5.338045977
A019170,2.547816092
A004490,2.260689655
A093370,2.29
A003540,0.005977011
A009290,2.257586207
A008490,3.349425287
A031440,1.946321839
A078520,5.802643678
A003060,2.199770115
A029460,2.717126437
A007210,2.765057471
A003920,1.125747126
A005850,2.40908046
A036580,4.360114943
A034120,0.813448276
A031430,0.448867925
A084690,2.827356322
A058650,1.279310345
A025860,0.326206897
A003850,2.982413793
A001720,0.949310345
A021960,1.95091954
A117930,-1.207777778
A009410,0.552988506
A004710,2.233218391
A122900,0.508923077
A004430,3.320229885
A029530,0.504252874
A002390,2.105862069
A079430,2.932068966
A192530,-1.457368421
A101060,2.411264368
A000050,1.954367816
A004690,0.00862069
A017390,0.593333333
A900140,1.806721311
A003030,1.25862069
A014830,1.31816092
A037710,1.584482759
A017940,-0.09954023
A005090,2.625517241
A006060,4.617126437
A005500,2.358045977
A214420,-6.056
A015860,2.23954023
A005720,2.710574713
A126560,0.7415
A095720,0.215977011
A016800,1.10183908
A102460,2.741363636
A001780,3.686321839
A001630,4.112758621
A104700,1.235977011
A152330,#DIV/0!
A005880,-4.053333333
A032350,0.515287356
A002320,0.910574713
A213500,1.659090909
A002630,3.234252874
A042700,2.455632184
A000400,0.273103448
A102280,5.28816092
A033660,0.376025641
A200880,-2.143125
A011200,-1.203333333
A214390,-11.64833333
A003220,3.136091954
A015350,0.839425287
A138490,0.333333333
A002810,3.487816092
A002990,-0.703793103
A008060,1.865402299
A004150,0.39183908
A002250,3.468850575
A003200,1.289655172
A005690,5.723333333
A036530,2.367816092
A097230,-0.84862069
A007690,2.26
A030610,0.921149425
A000480,0.386666667
A003560,1.49137931
A027390,3.959310345
A004440,#DIV/0!
A004360,0.604942529
A095570,7.9075
A011760,2.011494253
A001510,0.827816092
A033270,3.155632184
A112610,-1.003846154
A000140,0.01183908
A003570,1.46091954
A007160,2.489770115
A005810,2.328275862
A089470,4.239770115
A016580,2.074942529
A008730,1.184827586
A001130,0.901954023
A009680,1.17091954
A000430,1.857471264
A003120,0.992758621
A000020,1.311149425
A183190,1.35
A002780,-0.223908046
A102260,2.866436782
A001500,0.557816092
A011160,-1.633678161
A002450,3.386321839
A000320,2.687241379
A107590,2.872098765
A000180,2.136666667
A012320,1.323563218
A000390,2.628965517
A002000,0.281034483
A017960,1.688505747
A004970,0.894597701
A001460,1.703563218
A039570,2.196666667
A004250,3.188850575
A004700,3.732643678
A003530,0.730574713
A194370,#DIV/0!
A010050,0.189655172
A000970,2.356436782
A005950,1.149195402
A000680,-0.134367816
A006390,0.505057471
A007860,4.576896552
A004980,2.446896552
A003070,0.135287356
A009580,1.357701149
A092230,0.712413793
A079980,-0.631304348
A025000,0.368850575
A011000,3.202643678
A005680,1.163448276
A161000,0.115897436
A001940,1.769425287
A000860,1.558045977
A004130,1.363333333
A001250,1.156551724
A084010,1.238045977
A005110,4.73137931
A082740,-2.603050847
A000540,0.438390805
A004840,4.674137931
A001200,-0.406896552
A002030,1.531034483
A136490,2.762413793
A013520,3.645862069
A001880,2.057931034
A067830,2.430229885
A004060,4.232643678
A015360,0.762873563
A033240,2.397241379
A004380,2.827816092
A000700,1.030689655
A069640,2.627592593
A010690,2.325402299
A084680,5.911264368
A090350,3.064252874
A012160,1.57971831
A004960,1.790114943
A085310,1.565057471
A011280,2.87091954
A007540,1.475747126
A014280,3.162873563
A001790,0.69954023
A011090,4.252298851
A005390,4.193908046
A010820,2.583563218
A007810,2.907241379
A068400,1.642926829
A084870,3.594367816
A007660,1.87816092
A001360,3.533218391
A227840,-7.955
A004540,0.821149425
A900050,1.157088608
A021820,2.740574713
A000040,3.259310345
A091090,0.57908046
A007700,2.404942529
A092200,2.690689655
A002880,4.193333333
A001270,0.223793103
A034300,2.139655172
A044450,2.106781609
A007980,3.035057471
A130660,-1.280333333
A025560,3.284022989
A004200,1.242413793
A005750,4.44091954
A100250,2.630344828
A012610,2.099770115
A002840,2.357241379
A003460,0.382528736
A026890,2.905172414
A003230,1.873448276
A012200,2.175057471
A037270,2.040574713
A004830,3.513103448
A103590,1.46862069
A033530,2.222528736
A000490,2.295747126
A016090,4.229770115
A006380,0.122643678
A004310,0.915172414
A100840,1.862183908
A035150,3.762643678
A117580,-0.484166667
A092440,1.088390805
A009440,1.928505747
A001390,1.552298851
A005870,2.997356322
A016880,-0.965172414
A058860,1.5475
A019440,-0.927962963
A005980,-0.468965517
A006220,1.145287356
A002150,-0.46203125
A011930,-0.34816092
A004910,4.836781609
A013570,1.925287356
A075180,1.278850575
A014130,4.012413793
A041650,2.593103448
A002360,1.814137931
A063160,4.489195402
A016710,1.82816092
A123690,3.482878788
A009160,1.700344828
A006490,1.178505747
A035510,1.416206897
A094280,3.587931034
A014790,0.616436782
A002300,0.872068966
A002700,4.64091954
A003480,-0.429195402
A006370,0.883908046
A035000,0.458735632
A004870,-0.163448276
A012030,0.356206897
A003650,2.206091954
A002820,1.900344828
A016610,0.61045977
