code,equity
A005090,254826829.3
A017390,691798250.2
A014830,462274718.8
A003030,977362666.1
A004690,1145988142
A015860,432647792.9
A017940,1116539938
A006060,126500019.1
A037710,351632413
A900140,179335807.3
A005880,407573147.4
A005720,512261883.3
A002320,765739925.6
A117930,1430992431
A001630,288785043.2
A126560,462966232.4
A214420,33330345.5
A016800,303942498.6
A002630,63357004.94
A102460,124449107.1
A213500,351708396.4
A214390,56648003.66
A032350,97040639.2
A104700,696839822.4
A095720,246974262.6
A003560,64060386.12
A005690,64387181.39
A001780,137010518.5
A000400,272096566.1
A042700,174001392.2
A033660,701238819.6
A002250,110089783.2
A097230,1755304172
A036530,1318313537
A003220,111876192.1
A015350,401211671.7
A003200,603810856.7
A138490,73737336.91
A102280,85974251.1
A002810,204376570.2
A008060,393932734
A200880,567100142.1
A011760,405841102.7
A033270,125233660.8
A030610,587056476.6
A112610,171208300.9
A004150,729055354.6
A007690,331267284.6
A001510,421619557.6
A004440,138949764.6
A005810,591712882.1
A002990,80353696.36
A004360,625456568.7
A027390,230475802.1
A000480,608205343.1
A006390,76976304.32
A095570,151157256
A089470,139369062.8
A003570,676217851.1
A000140,1324440861
A007160,353515347.4
A004700,141514532.7
A001130,579984598.2
A016580,158701884.2
A008730,295054862.2
A011200,1403183402
A102260,296548600.1
A000430,423663057.3
A003120,327426103.7
A009680,350016969.9
A001500,631476739.1
A002780,110951195.2
A000020,223833840.8
A183190,600761747.6
A002450,167767203.8
A107590,121342023.8
A001460,322241858.2
A004250,148222841.6
A012320,446195089.8
A000970,215664665.6
A039570,67497870.79
A010050,102958682.3
A011160,1336666736
A000320,384729104
A000390,232052852.4
A194370,45324553.06
A004970,365455864.4
A017960,219886081
A079980,294480338.4
A002000,543832305.5
A005950,417513535.3
A000180,189771637.9
A004130,376335071.4
A000680,773064997.8
A003530,820369163.9
A092230,805534843.7
A007860,569050005.2
A025000,316597932.8
A161000,170946731.4
A004840,245031270.1
A004980,349476071.3
A000700,714706064.1
A011000,32763038.33
A010690,325905670.2
A003070,406540756.4
A000860,344550615.8
A002030,1065138050
A013520,226441348.2
A004060,208060772.4
A009580,539008740.4
A001940,993970603.1
A005680,429700519.3
A000540,267514034.5
A004380,117713427.7
A012160,154705385.2
A001360,32444253.51
A001250,200803748.8
A001200,566482562.4
A084010,353111035.8
A001880,121956468.4
A082740,527831399.7
A067830,269990308.2
A085310,147666320.2
A033240,197523465.5
A136490,140915274
A015360,604247045.6
A007810,291979188
A005390,202110873.6
A014280,223487982
A011280,327289559
A007540,148731768.5
A007660,173436315.9
A069640,124058832.6
A001790,433156584.8
A090350,221155168.3
A010820,68922953.61
A004960,285510300.7
A068400,152305045.7
A084680,86765522.22
A091090,116955092.4
A004540,139006913
A011090,48464475.84
A084870,211260393.3
A900050,379763410.2
A021820,336967375.6
A006490,19324290.72
A005110,26677202.19
A227840,192097947.3
A044450,147959559.7
A092200,156392125.7
A002880,90287202.59
A007700,165841219.8
A005980,45226179.69
A025560,46402287.1
A130660,63364314.26
A000040,61113242.54
A000490,215107159.5
A001270,382703687.5
A100250,333260808.6
A005750,141925713.8
A002840,115136377.5
A012610,180901553
A004200,158531174.9
A003460,456821385.2
A037270,51680223.73
A012200,143149869.1
A003230,144610253.7
A034300,112834950.3
A026890,109453111.1
A033530,301570538.5
A004310,99750054.07
A103590,320140150.1
A004830,59117621.95
A092440,196291922.9
A100840,187210430.6
A035150,82902226.01
A007980,126658077.8
A117580,261676801.1
A009440,170124264.8
A005870,68235823.13
A016880,654948514.2
A011930,91861041.58
A006380,327598639.1
A002360,72445179.88
A058860,121894757
A001390,329467450.4
A019440,205852634.9
A003650,162263225
A006220,265299448.3
A002150,206109405.7
A075180,142502618.1
A004910,123425848.1
A016090,99759541.8
A013570,288673664.9
A016710,441359612.5
A041650,94792707.95
A009160,177842473.1
A035510,135149387
A063160,110868651.3
A014790,666715537.9
A002300,471318549.2
A002310,323627891.1
A094280,37807722.82
A002460,281452437.3
A006370,378318293.5
A123690,48649926.12
A035000,112219185.2
A016610,643145813.4
A000890,-4761389.95
A015890,253821639.9
A003160,114959976.9
A019300,225655882.4
A014130,29344749.34
A002820,258549472.6
A012030,217480497.4
A003480,1379044241
A100220,136462949.8
A030210,575369606.5
A004870,23508233.15
A002210,60955935.24
A002170,210193464.2
A005800,256351629.5
A058430,202496988.2
A012280,42993996.28
A001530,524306141.5
A001820,49587207.4
A003830,368121727.2
A001380,120081767.1
A004560,270157816.5
A023000,131210253.3
A009310,73805684.91
A012690,44249527.49
A004770,23432023.7
A163560,135282705
A004890,283081824.7
A008350,67269415.93
A006090,71172764.72
A005190,61065945.04
A002700,29732525.56
A024090,129906052.5
A047400,85645727.75
A003280,144949749.9
A008600,133820364.9
A003350,47767271.75
A034590,133479493.1
A003960,156353318
A068290,82450818.55
A053690,54073867.71
A110570,27081687.67
A014530,101590274.6
A004720,24521717.19
A134380,62295583.03
A017900,197242284.5
A014990,95621586.47
A078000,94343632.99
A075580,118434917.8
A105840,97106209.34
A006340,70357006.26
A024890,45349327.29
A011150,37916949.37
A018470,160961283.4
A093240,50181808.34
A000650,41200471
A007110,54364492.57
A009270,178680135.4
A103130,149922797.1
A025750,109788318
A008040,142804611.8
