date,code,owner,dy,p_return,bps,eps
20080930,A000050,2684,0,-1.38,196365.27,-7132.47
20080930,A070960,0,0,0,7463.67,66.18
20080930,A005500,0,0.34,-1.63,8455.97,527.99
20080930,A016380,3972,2.1,-4.73,44646.51,-3231.45
20080930,A101060,2874,1.37,2.34,34037.02,1840.53
20080930,A192530,0,0,0,0,0
20080930,A004690,6328,0.96,0.75,172539.96,12295.89
20080930,A002630,0,0,-0.63,694.71,-8.14
20080930,A014830,1153,3.42,-1.01,39869.48,9629.34
20080930,A002250,0,5.17,-2.96,22018.5,1692.98
20080930,A017940,10827,2.15,-0.44,83884.62,7632.74
20080930,A005880,31320,0.76,1.15,113375.69,31915.73
20080930,A017390,0,2.03,0.67,81144.03,8313.38
20080930,A005090,0,3.59,4.13,30983.7,3730.12
20080930,A006390,16,0,1.94,45955.67,-9285.66
20080930,A037710,0,1.24,0,116914.57,19433.47
20080930,A152330,0,0,0,6418.8,1114.16
20080930,A095720,43890,3.9,0.83,7831,1162.24
20080930,A097230,301908,0.35,-1.21,44484.37,1330.83
20080930,A900140,0,0,0,11300.4,0
20080930,A005720,552,2.36,-0.3,67669.89,10592.73
20080930,A003030,12731,3.45,-1.34,110250.01,22136.4
20080930,A102460,0,0,0,3482.87,714.74
20080930,A015860,799,0,0,4328.11,-78.08
20080930,A005690,0,0,-0.94,5007.09,-2652.72
20080930,A002320,29139,1.1,-2.65,53970.12,-10618.34
20080930,A001630,4718,1.57,-0.26,15584.72,1658.57
20080930,A032350,5019,0,-2.08,8918.9,-556.06
20080930,A003560,96,0,11.7,918.06,-415.28
20080930,A016800,4512,2.94,1.26,21576.23,2870.86
20080930,A214390,0,0,0,6671.27,2430.95
20080930,A001780,0,0,-0.25,2461.66,91.15
20080930,A126560,0,0,0,90078.82,-941.34
20080930,A033660,0,0,0,11800.3,517.25
20080930,A042700,5726,3.45,-3.12,4809.99,290.46
20080930,A000400,25,0,-6.72,4705.65,-162.77
20080930,A003220,0,3.78,-0.56,5432.2,645.4
20080930,A104700,77459,2.9,0,70612,5351.89
20080930,A102280,0,0,7.34,8252.74,376.92
20080930,A015350,0,5.62,-1.82,27071.64,2238.94
20080930,A213500,0,0,0,0,0
20080930,A011760,7526,0,2.63,9040.47,468.61
20080930,A036530,899,5.24,-0.26,24070.48,1944.97
20080930,A007690,9087,3.64,0.8,36303.59,5027.44
20080930,A002810,77,2.74,0.12,8927.95,497.63
20080930,A112610,0,0,0,7180.07,2060.78
20080930,A138490,0,0,0,4832.52,533.61
20080930,A200880,0,0,0,0,0
20080930,A033270,0,2.46,-0.26,3586.14,590.61
20080930,A030610,0,0.6,-6.49,14176.55,450.53
20080930,A008060,9262,7.31,-4.57,6575.27,-1433.44
20080930,A001510,75,0.23,-3.85,1253.65,60
20080930,A004150,46214,0,-1.43,11875.45,46.06
20080930,A004440,0,0,0,38227.91,5375.49
20080930,A003200,2812,2.4,1.84,172808.21,9745.57
20080930,A005810,3558,0,0,41442.06,471.44
20080930,A004700,105,0,7.08,15828.81,484.3
20080930,A002990,39278,2.71,-4.18,20122.18,594.14
20080930,A027390,12,4.74,1.12,21173.15,2070.98
20080930,A000480,99,2.34,4.89,89750.1,2378.9
20080930,A004360,7008,1.44,-0.3,15642.83,2268.55
20080930,A016580,0,3.48,2.36,11350.64,1199.38
20080930,A000140,11549,1.83,0,61620.79,6659.13
20080930,A089470,0,5.17,0.94,2542.57,244.19
20080930,A095570,0,0,0,13531.33,696.78
20080930,A001460,0,0.55,0,288022.94,5955.94
20080930,A003570,58819,1.71,-1.6,15473.86,1000.17
20080930,A007160,0,0,-2.46,19079.43,4315.66
20080930,A001130,15663,2.2,1.88,254159.88,-7860.83
20080930,A008730,38560,7.1,-0.9,9703.14,507.6
20080930,A003120,6027,0.69,-3.38,113382.23,12843.26
20080930,A102260,0,0,-4.8,26701.39,-2715.03
20080930,A194370,0,0,0,131299.11,23262.52
20080930,A002780,0,0,-1.45,1359.69,3.61
20080930,A009680,21,3.35,2.44,6867.16,757.29
20080930,A000430,2,3.43,-0.82,4668.98,111.07
20080930,A000020,6124,1.85,-1.97,36761.95,5105.09
20080930,A107590,0,0,0,0,0
