date,code,owner,dy,p_return,bps,eps
20080930,A005740,0,1.57,-0.93,109176.29,1471.43
20080930,A017810,0,1.91,0,48130.84,6532.04
20080930,A044820,26000,4.64,-1.41,2384.35,143.2
20080930,A210980,0,0,0,23379.76,1160.9
20080930,A031440,5968,1.93,-1.47,31033.5,5704.17
20080930,A002960,349,8.53,-1.92,37851.87,9333.14
20080930,A078520,0,0.36,-2.38,6225.09,1113.84
20080930,A093370,35,0,-0.83,1004.53,190.14
20080930,A003850,0,2.04,2.02,41158.19,1758.65
20080930,A138250,0,0,0,34078.87,3658.48
20080930,A003060,271,0,-4.81,319.45,-115.31
20080930,A008490,440,4.51,1.57,10306.25,948.9
20080930,A009290,0,1.87,1.03,3775.05,408.36
20080930,A117930,0,0,0,0,0
20080930,A004490,730,1.63,-2.41,17974.43,5383.49
20080930,A029460,8,0.86,-2.4,4547.68,378.2
20080930,A011200,11275,1.35,-0.13,20778.88,4427.83
20080930,A003540,89,5.88,1.13,20705.2,1698.96
20080930,A005850,0,1.67,-1.11,8213.46,-1341.03
20080930,A003920,18928,0.2,1.57,685208.77,-28302.83
20080930,A214420,0,0,0,0,0
20080930,A036580,0,0,-1.23,3899.01,-282.83
20080930,A034120,114,0,0,24570.37,394.71
20080930,A007210,2703,2.17,3.38,19351.41,503.07
20080930,A004430,0,0,0,6014.84,-749.13
20080930,A084690,0,6.52,-2.8,8729.73,386.52
20080930,A122900,0,0,0,28962.8,4923.75
20080930,A029530,3368,4.59,-3.05,67644.44,6790.42
20080930,A058650,0,2.32,-1.68,207649.3,26572.09
20080930,A002390,0,1.4,-1.36,16463.57,588.47
20080930,A031430,0,0,0,27119.14,4124.41
20080930,A009410,620,1.76,-1.56,8819.65,566.91
20080930,A001720,0,4.14,0,46021.02,3068.35
20080930,A021960,25936,4.29,-4.26,11102.83,737.1
20080930,A079430,0,4.37,-1.94,7166.17,1048.43
20080930,A004710,4064,1.92,-5.87,17935.23,1013.3
20080930,A019170,0,2.65,-3.76,34593.68,2995.02
20080930,A006060,0,9.49,0.27,27947.9,2961.31
20080930,A025860,52710,2.72,0.36,8779.33,2854.65
20080930,A000050,0,0,-1.38,196365.27,-7132.47
20080930,A070960,0,0,0,7463.67,66.18
20080930,A005500,0,0.34,-1.63,8455.97,527.99
20080930,A016380,4312,2.1,-4.73,44646.51,-3231.45
20080930,A101060,0,1.37,2.34,34037.02,1840.53
20080930,A192530,0,0,0,0,0
20080930,A004690,61,0.96,0.75,172539.96,12295.89
20080930,A002630,0,0,-0.63,694.71,-8.14
20080930,A014830,6351,3.42,-1.01,39869.48,9629.34
20080930,A002250,0,5.17,-2.96,22018.5,1692.98
20080930,A017940,7477,2.15,-0.44,83884.62,7632.74
20080930,A005880,33144,0.76,1.15,113375.69,31915.73
20080930,A017390,0,2.03,0.67,81144.03,8313.38
20080930,A005090,0,3.59,4.13,30983.7,3730.12
20080930,A006390,0,0,1.94,45955.67,-9285.66
20080930,A037710,612,1.24,0,116914.57,19433.47
20080930,A152330,0,0,0,6418.8,1114.16
20080930,A095720,0,3.9,0.83,7831,1162.24
20080930,A097230,173360,0.35,-1.21,44484.37,1330.83
20080930,A900140,0,0,0,11300.4,0
20080930,A005720,0,2.36,-0.3,67669.89,10592.73
20080930,A003030,30,3.45,-1.34,110250.01,22136.4
20080930,A102460,0,0,0,3482.87,714.74
20080930,A015860,15,0,0,4328.11,-78.08
20080930,A005690,0,0,-0.94,5007.09,-2652.72
20080930,A002320,69071,1.1,-2.65,53970.12,-10618.34
20080930,A001630,12491,1.57,-0.26,15584.72,1658.57
20080930,A032350,0,0,-2.08,8918.9,-556.06
20080930,A003560,0,0,11.7,918.06,-415.28
20080930,A016800,196,2.94,1.26,21576.23,2870.86
20080930,A214390,0,0,0,6671.27,2430.95
20080930,A001780,0,0,-0.25,2461.66,91.15
20080930,A126560,0,0,0,90078.82,-941.34
20080930,A033660,0,0,0,11800.3,517.25
20080930,A042700,34,3.45,-3.12,4809.99,290.46
20080930,A000400,41,0,-6.72,4705.65,-162.77
20080930,A003220,0,3.78,-0.56,5432.2,645.4
20080930,A104700,111,2.9,0,70612,5351.89
20080930,A102280,0,0,7.34,8252.74,376.92
20080930,A015350,0,5.62,-1.82,27071.64,2238.94
20080930,A213500,0,0,0,0,0
20080930,A011760,20,0,2.63,9040.47,468.61
