code,price
A170900,0
A023590,3780
A052690,0
A049770,25400
A039130,20983.33333
A185750,0
A145990,0
A081660,0
A001680,5771.666667
A180640,0
A003240,903000
A069620,43400
A011790,15366.66667
A020000,7880
A006040,77666.66667
A001060,9743.333333
A003620,1546.666667
A025540,14416.66667
A064960,17386.66667
A000640,90466.66667
A007570,14266.66667
A037560,0
A008000,5280
A001430,20216.66667
A101530,0
A004000,40116.66667
A014680,5673.333333
A020560,3628.333333
A024720,2126.666667
A089590,0
A009420,2376.666667
A034310,19866.66667
A000990,4915
A175330,0
A009970,6280
A033920,5326.666667
A103140,7310
A071320,0
A006840,16516.66667
A115390,0
A001230,24966.66667
A069260,19166.66667
A001520,2973.333333
A019680,23573.33333
A005740,60466.66667
A002240,38516.66667
A096760,5683.333333
A016450,2253.333333
A000370,8203.333333
A018670,50783.33333
A072710,59600
A012510,751.6666667
A053210,0
A000230,23500
A017810,41066.66667
A003300,61866.66667
A005180,35483.33333
A007340,6606.666667
A093050,22250
A085620,0
A003090,17483.33333
A002020,23983.33333
A003470,5543.333333
A009450,21833.33333
A020150,0
A002960,82233.33333
A210980,0
A060980,0
A138250,0
A044820,1705
A019170,14400
A004490,13650
A093370,2653.333333
A003540,13900
A009290,2533.333333
A008490,4660
A031440,35100
A078520,2366.666667
A003060,260
A029460,2836.666667
A007210,9766.666667
A003920,459833.3333
A005850,3398.333333
A036580,1093.333333
A034120,31883.33333
A031430,0
A084690,2765
A058650,73733.33333
A025860,16433.33333
A003850,21533.33333
A001720,29150
A021960,6030
A117930,0
A009410,4065
A004710,15250
A122900,0
A004430,3693.333333
A029530,54300
A002390,13283.33333
A079430,5450
A192530,0
A101060,21700
A000050,72800
A004690,132500
A017390,70100
A900140,0
A003030,43683.33333
A014830,29983.33333
A037710,109333.3333
A017940,71933.33333
A005090,21233.33333
A006060,5331.666667
A005500,7703.333333
A214420,0
A015860,2261.666667
A005720,17900
A126560,0
A095720,14650
A016800,21383.33333
A102460,0
A001780,830
A001630,14266.66667
A104700,30816.66667
A152330,0
A005880,84333.33333
A032350,19766.66667
A002320,35033.33333
A213500,0
A002630,588.3333333
A042700,3275
A000400,6820
A102280,2376.666667
A033660,0
A200880,0
A011200,35216.66667
A214390,0
A003220,3476.666667
A015350,18450
A138490,0
A002810,3006.666667
A002990,14433.33333
A008060,3231.666667
A004150,11750
A002250,11500
A003200,65766.66667
A005690,10056.66667
A036530,7383.333333
A097230,22616.66667
A007690,19516.66667
A030610,8110
A000480,65100
A003560,1420
A027390,10916.66667
A004440,0
A004360,9616.666667
A095570,0
A011760,13623.33333
A001510,1456.666667
A033270,2871.666667
A112610,0
A000140,21483.33333
A003570,8133.333333
A007160,19816.66667
A005810,10850
A089470,1456.666667
A016580,11833.33333
A008730,6876.666667
A001130,132166.6667
A009680,6283.333333
A000430,1726.666667
A003120,77200
A000020,27616.66667
A183190,0
A002780,813.3333333
A102260,6453.333333
A001500,14083.33333
A011160,5123.333333
A002450,548.3333333
A000320,5180
A107590,0
A000180,13866.66667
A012320,47083.33333
A000390,2866.666667
A002000,22766.66667
A017960,3966.666667
A004970,12150
A001460,149500
A039570,0
A004250,9110
A004700,5215
A003530,5703.333333
A194370,0
A010050,593.3333333
A000970,3056.666667
A005950,10650
A000680,5041.666667
A006390,9623.333333
A007860,1726.666667
A004980,3673.333333
A003070,5120
A009580,5570
A092230,47166.66667
A079980,0
A025000,44233.33333
A011000,1428.333333
A005680,8456.666667
A161000,0
A001940,34500
A000860,11466.66667
A004130,4528.333333
A001250,6783.333333
A084010,56633.33333
A005110,356.6666667
A082740,0
A000540,4971.666667
A004840,1870
A001200,1095
A002030,39250
A136490,0
A013520,5613.333333
A001880,3838.333333
A067830,998.3333333
A004060,1040
A015360,24816.66667
A033240,4276.666667
A004380,1658.333333
A000700,18700
A069640,0
A010690,1796.666667
A084680,263.3333333
A090350,2416.666667
A012160,0
A004960,11183.33333
A085310,12000
A011280,636.6666667
A007540,24000
A014280,6650
A001790,54966.66667
A011090,636.6666667
A005390,1846.666667
A010820,998.3333333
A007810,2291.666667
A068400,0
A084870,2026.666667
A007660,1346.666667
A001360,2708.333333
A227840,0
A004540,3566.666667
A900050,0
A021820,31433.33333
A000040,355
A091090,4426.666667
A007700,2910
A092200,2938.333333
A002880,393.3333333
A001270,17850
A034300,12400
A044450,3625
A007980,6963.333333
A130660,0
A025560,265
A004200,5046.666667
A005750,1421.666667
A100250,705
A012610,18333.33333
A002840,40516.66667
A003460,13133.33333
A026890,895
A003230,14316.66667
A012200,1351.666667
A037270,1665
A004830,1330
A103590,3018.333333
A033530,3983.333333
A000490,15316.66667
A016090,450
A006380,5000
A004310,2426.666667
A100840,42250
A035150,658.3333333
A117580,0
A092440,7593.333333
A009440,6090
A001390,5403.333333
A005870,3386.666667
A016880,8696.666667
A058860,0
A019440,0
A005980,5801.666667
A006220,6950
A002150,0
A011930,7113.333333
A004910,1666.666667
A013570,3190
A075180,4048.333333
A014130,7683.333333
A041650,1456.666667
A002360,596.6666667
A063160,3963.333333
A016710,5033.333333
A123690,0
A009160,2858.333333
A006490,4355
A035510,36350
A094280,2786.666667
A014790,9453.333333
A002300,26766.66667
A002700,340
A003480,12793.33333
A006370,8206.666667
A035000,9756.666667
A004870,246.6666667
A012030,10036.66667
A003650,21450
A002820,29400
A016610,4726.666667
A003160,1003.333333
A000890,13766.66667
A002310,5505
A002210,5976.666667
A002460,4216.666667
A015890,3738.333333
A012690,396.6666667
A030210,3381.666667
A100220,14300
A001820,4468.333333
A019300,646.6666667
A004770,1303.333333
A001530,50333.33333
A004560,4620
A004890,43966.66667
A003280,1308.333333
A023000,0
A006090,5525
A058430,17350
A008350,4885
A003350,2435
A024090,4396.666667
A003830,78366.66667
A163560,0
A005190,9536.666667
A005800,91200
A047400,0
A002170,24550
A034590,22133.33333
A014990,1513.333333
A014910,1003.333333
A093240,0
A011150,546.6666667
A008600,2208.333333
A053690,0
A110570,0
A001380,4371.666667
A014530,7690
A075580,0
A017900,1355
A003960,14366.66667
A001470,14733.33333
A078000,5616.666667
A105840,0
A006340,3870
A068290,2270
A018470,5976.666667
A024890,585
A134380,0
A014710,0
A025750,755
A008040,3298.333333
A000650,31050
A103130,0
A000850,32200
A004720,485
A003080,21383.33333
A009200,8786.666667
A058850,0
A009270,1266.666667
A006980,1225
A005430,33383.33333
A002100,3028.333333
A012170,286.6666667
A001260,15516.66667
A015260,810
A077970,16016.66667
A123700,0
A007120,736.6666667
A033180,831.6666667
A079660,4151.666667
A014160,243.3333333
A004080,13600
A021050,528.3333333
A002600,41766.66667
A001020,6733.333333
A007110,501.6666667
A145210,0
A000300,1151.666667
A018500,415
A008970,976.6666667
A009070,11050
A077500,3320
A002720,1868.333333
A008250,6686.666667
A006880,0
A003610,10896.66667
A020760,8496.666667
A007190,2003.333333
A005010,15833.33333
A008700,2556.666667
A002920,1993.333333
A002900,5391.666667
A017180,3225
A013580,14466.66667
A129260,0
A005360,6486.666667
A017550,641.6666667
A012800,471.6666667
A007590,6433.333333
A012280,360
A000500,19300
A017040,776.6666667
A004450,13466.66667
A009770,29700
A028100,0
A001750,7970
A081000,9210
A010960,2560
A000220,6653.333333
A016590,6473.333333
A084670,25216.66667
A016380,7483.333333
A027740,553.3333333
A011690,3993.333333
A006570,4036.666667
A005960,5588.333333
A013000,571.6666667
A013870,0
A133820,0
A011330,481.6666667
A000590,45566.66667
A001340,50450
A083420,16783.33333
A010100,7993.333333
A118000,0
A023800,2716.666667
A032560,4353.333333
A025530,4196.666667
A001570,385
A071970,0
A214330,0
A120030,0
A006660,6103.333333
A001080,9033.333333
A002200,7373.333333
A008260,1410
A001210,20150
A015230,9366.666667
A144620,0
A014440,1386.666667
A104120,3896.666667
A011700,821.6666667
A058730,1840
A014580,14350
A008870,40133.33333
A015590,1866.666667
A023810,1731.666667
A011420,2166.666667
A002760,981.6666667
A015020,545
A072130,4600
A006890,2701.666667
A009310,2261.666667
A004270,6756.666667
A128820,0
A005320,420
A010040,2261.666667
A001290,1806.666667
A155660,0
A004100,4028.333333
A024070,3716.666667
A030790,735
A090080,1313.333333
A004090,126333.3333
A119650,0
A210540,0
A009460,170
A092220,615
A000910,4563.333333
A004740,3086.666667
A001620,968.3333333
A001560,3786.666667
A005420,3746.666667
A104110,3720
A006740,25700
A003780,1116.666667
A011810,22200
A109070,0
A002070,34800
A023450,20183.33333
A009190,1715
A017370,1413.333333
A011500,2031.666667
A088790,1246.666667
A024900,6310
A071950,888.3333333
A013360,5093.333333
A093230,9573.333333
A009320,98.33333333
A023350,0
A011300,1406.666667
A000950,29900
A004410,6553.333333
A031820,891.6666667
A012600,9693.333333
A002410,11083.33333
A000760,4606.666667
A001070,20916.66667
A023150,5586.666667
A000520,7330
A013700,6833.333333
A002710,13950
A010660,12283.33333
A008110,2260
A003580,6775
A069730,1873.333333
A008420,1980
A003720,5486.666667
A010770,1803.333333
A051630,638.3333333
A026940,2536.666667
A001550,4766.666667
A004140,2498.333333
A009180,985
A005620,64633.33333
A003680,3491.666667
A033250,751.6666667
A005070,1431.666667
A002140,1963.333333
A044380,341.6666667
A002690,0
A020120,1010
A090370,5546.666667
A049800,845
A005820,7673.333333
A007610,1896.666667
A025820,873.3333333
A009810,670
A005030,2101.666667
A010420,1026.666667
A002220,14666.66667
A006200,866.6666667
A069460,530
A025620,473.3333333
A019180,690
A003010,4350
A071090,17466.66667
A015540,333.3333333
A030720,3348.333333
A101140,1730
A023960,2801.666667
A006110,20866.66667
A007460,6121.666667
A005450,10310
A011390,7563.333333
A074610,906.6666667
A019490,2986.666667
A134790,0
A004920,5070
A008500,14766.66667
A025890,3000
A010600,448.3333333
A009470,5533.333333
A009140,12783.33333
A007630,721.6666667
A027970,4853.333333
A001420,18616.66667
A002870,10153.33333
A010580,613.3333333
A011720,471.6666667
A002420,24966.66667
A011230,2968.333333
A010640,870
A001770,12016.66667
A001140,5370
A007280,66333.33333
A005930,472500
A015760,27550
A005380,45450
A090430,615000
A012330,67833.33333
A028260,0
A035420,134500
A032830,0
A000660,7586.666667
A000270,6950
A055550,26483.33333
A051910,78533.33333
A005490,350166.6667
A033780,81266.66667
A017670,203000
A034730,0
A051900,171166.6667
A018260,0
A096770,74000
A000810,171500
A105560,32800
A002790,91600
A003550,40516.66667
A011170,52333.33333
A010950,57966.66667
A034220,24366.66667
A035250,12666.66667
A010130,82800
A066570,72633.33333
A008930,115000
A030200,38783.33333
A021240,25966.66667
A009540,190333.3333
A023530,180000
A006400,60333.33333
A086790,20083.33333
A086280,47683.33333
A000030,865
A004020,35900
A001040,34800
A024110,7426.666667
A161390,0
A047810,0
A018880,7133.333333
A001800,151833.3333
A128940,0
A088350,0
A027410,0
A097950,156000
A139480,0
A036570,62633.33333
A005830,14400
A032640,9466.666667
A000120,91500
A078930,25916.66667
A029780,33400
A007070,0
A002380,284333.3333
A009240,6080
A004800,45300
A009830,6666.666667
A012750,47683.33333
A000720,54166.66667
A009150,36083.33333
A036460,50666.66667
A004990,1166000
A051600,24966.66667
A000100,201833.3333
A012630,32516.66667
A069960,61566.66667
A007310,130000
A000880,23450
A001450,12666.66667
A138930,0
A037620,67566.66667
A000210,43166.66667
A003520,945
A016360,59133.33333
A006800,14666.66667
A047050,21916.66667
A008770,13083.33333
A005940,13983.33333
A034020,63600
A010060,219000
A005300,835333.3333
A047040,8866.666667
A011210,0
A004370,218000
A079160,14950
A012450,29000
A071050,24700
A004170,442333.3333
A001440,16033.33333
A000240,13516.66667
A006360,54166.66667
A010140,23750
A003490,34616.66667
A028050,47400
A006280,85200
A079550,0
A000150,98266.66667
A011780,18633.33333
A011070,48816.66667
A111770,0
A161890,0
A002550,12000
A005610,6820
A005440,58200
A006120,31683.33333
A028670,9143.333333
A204320,0
A000670,506666.6667
A030000,179333.3333
A000080,1845
A114090,0
A120110,0
A105630,0
A214320,0
A014820,1103.333333
A006260,72466.66667
A000060,3530
A057050,0
A192400,0
A008560,871.6666667
A138040,0
A005250,61066.66667
A039490,40050
A003690,9956.666667
A003450,9820
A226320,0
A002620,5786.666667
A001740,8193.333333
A006650,18666.66667
A010120,46933.33333
A139130,0
A001120,16283.33333
A064350,0
A192820,0
A017800,56066.66667
A003410,5850
A002350,2273.333333
A000070,29600
A010620,136333.3333
A002270,132666.6667
A010780,6263.333333
A042670,13666.66667
A042660,18350
A108670,0
A071840,0
A073240,4215
A181710,0
A082640,0
A003000,18416.66667
A068870,42783.33333
A170900,0
A023590,4983.333333
A052690,0
A049770,25116.66667
A039130,23333.33333
A185750,0
A145990,0
A081660,0
A001680,5043.333333
A180640,0
A003240,880000
A069620,49616.66667
A011790,15483.33333
A020000,8046.666667
A006040,83200
A001060,10133.33333
A003620,1168.333333
A025540,12166.66667
A064960,8523.333333
A000640,86200
A007570,18250
A037560,0
A008000,6380
A001430,15616.66667
A101530,0
A004000,40550
A014680,4793.333333
A020560,3540
A024720,2553.333333
